Hour,Week,Testosterone,LH,FSH
266,1.58,29.84,10.02,5.01
267,1.59,31.14,9.85,4.91
268,1.60,29.86,9.91,4.95
269,1.60,30.27,10.06,5.04
270,1.61,29.44,10.08,5.05
271,1.61,30.83,10.10,5.06
272,1.62,30.76,9.87,4.92
273,1.62,30.86,9.95,4.97
274,1.63,29.94,10.17,5.10
275,1.64,31.03,10.10,5.06
276,1.64,31.11,10.02,5.01
277,1.65,30.02,10.02,5.01
278,1.65,30.78,10.03,5.02
279,1.66,30.16,10.06,5.04
280,1.67,29.60,10.15,5.09
281,1.67,29.03,10.01,5.01
282,1.68,29.72,10.03,5.02
283,1.68,29.39,9.99,5.00
284,1.69,30.40,10.04,5.02
285,1.70,30.32,10.00,5.00
286,1.70,28.76,10.08,5.05
287,1.71,29.65,10.04,5.02
288,1.71,29.09,9.92,4.95
289,1.72,29.88,9.85,4.91
290,1.73,29.11,10.01,5.01
291,1.73,29.04,9.97,4.98
292,1.74,29.50,9.85,4.91
293,1.74,30.15,10.09,5.05
294,1.75,30.61,9.98,4.99
295,1.76,28.83,9.94,4.97
296,1.76,28.75,10.07,5.04
297,1.77,28.51,9.79,4.87
298,1.77,30.59,10.10,5.06
299,1.78,29.44,9.96,4.98
300,1.79,30.85,10.03,5.02
301,1.79,30.09,10.04,5.02
302,1.80,30.59,10.12,5.07
303,1.80,30.16,10.09,5.06
304,1.81,30.10,10.05,5.03
305,1.82,30.20,9.91,4.95
306,1.82,28.76,10.02,5.01
307,1.83,30.27,10.00,5.00
308,1.83,30.78,9.95,4.97
309,1.84,30.62,10.05,5.03
310,1.85,30.16,9.98,4.99
311,1.85,30.84,9.93,4.96
312,1.86,30.25,9.91,4.94
313,1.86,29.07,10.07,5.04
314,1.87,30.45,9.99,5.00
315,1.88,30.98,10.13,5.08
316,1.88,29.12,10.02,5.01
317,1.89,29.62,9.96,4.98
318,1.89,29.83,10.16,5.10
319,1.90,28.12,10.03,5.02
320,1.90,29.23,10.13,5.08
321,1.91,30.95,9.87,4.92
322,1.92,29.89,10.20,5.12
323,1.92,30.37,9.93,4.96
324,1.93,29.99,9.98,4.99
325,1.93,30.74,10.03,5.02
326,1.94,29.27,9.94,4.96
327,1.95,29.27,10.06,5.03
328,1.95,30.93,9.89,4.93
329,1.96,30.67,9.89,4.93
330,1.96,30.30,9.97,4.98
331,1.97,31.10,9.98,4.99
332,1.98,30.34,10.10,5.06
333,1.98,29.46,10.04,5.03
334,1.99,29.26,10.15,5.09
335,1.99,29.80,10.04,5.02
336,2.00,29.44,9.96,4.98
337,2.01,29.93,9.93,4.96
338,2.01,30.02,10.03,5.02
339,2.02,30.52,9.90,4.94
340,2.02,31.08,9.93,4.96
341,2.03,29.08,9.96,4.98
342,2.04,30.17,9.95,4.97
343,2.04,30.12,10.08,5.05
344,2.05,28.62,10.12,5.07
345,2.05,29.26,10.16,5.09
346,2.06,29.71,9.83,4.90
347,2.07,29.78,9.94,4.97
348,2.07,30.34,9.95,4.97
349,2.08,29.54,9.97,4.98
350,2.08,29.21,10.03,5.02
351,2.09,30.71,9.97,4.98
352,2.10,29.67,9.99,4.99
353,2.10,29.80,9.96,4.98
354,2.11,31.21,10.03,5.02
355,2.11,30.95,10.13,5.08
356,2.12,30.91,9.96,4.98
357,2.12,29.27,9.97,4.98
358,2.13,31.19,10.07,5.04
359,2.14,30.28,9.86,4.92
360,2.14,29.34,10.07,5.04
361,2.15,30.39,9.88,4.93
362,2.15,30.09,9.85,4.91
363,2.16,30.03,10.03,5.02
364,2.17,29.61,10.19,5.12
365,2.17,30.36,10.04,5.03
366,2.18,30.27,10.13,5.08
367,2.18,29.87,10.02,5.01
368,2.19,30.18,10.14,5.08
369,2.20,30.37,9.94,4.97
370,2.20,30.20,10.11,5.07
371,2.21,29.81,10.02,5.01
372,2.21,29.93,10.01,5.00
373,2.22,30.95,10.05,5.03
374,2.23,29.89,9.97,4.98
375,2.23,30.30,9.94,4.96
376,2.24,30.42,9.92,4.95
377,2.24,30.49,10.12,5.07
378,2.25,31.18,10.05,5.03
379,2.26,30.41,10.11,5.07
380,2.26,30.14,9.96,4.98
381,2.27,30.64,10.01,5.00
382,2.27,29.98,10.07,5.04
383,2.28,29.97,9.89,4.93
384,2.29,30.74,9.98,4.99
385,2.29,29.98,10.08,5.05
386,2.30,30.00,9.91,4.95
387,2.30,29.94,9.82,4.89
388,2.31,30.54,10.04,5.03
389,2.32,29.79,10.00,5.00
390,2.32,29.56,10.09,5.05
391,2.33,29.56,9.92,4.95
392,2.33,29.74,9.93,4.96
393,2.34,30.42,9.95,4.97
394,2.35,31.07,9.86,4.92
395,2.35,29.41,10.06,5.04
396,2.36,29.11,10.00,5.00
397,2.36,30.96,9.94,4.97
398,2.37,29.82,10.10,5.06
399,2.38,29.44,9.94,4.97
400,2.38,29.51,10.09,5.05
401,2.39,29.89,9.99,4.99
402,2.39,29.49,9.96,4.98
403,2.40,30.49,9.79,4.88
404,2.40,29.84,10.03,5.02
405,2.41,28.96,10.00,5.00
406,2.42,29.32,9.92,4.95
407,2.42,30.81,10.01,5.00
408,2.43,29.09,10.11,5.07
409,2.43,29.96,9.87,4.92
410,2.44,29.90,9.99,5.00
411,2.45,29.14,10.08,5.05
412,2.45,30.07,9.93,4.96
413,2.46,29.01,10.13,5.08
414,2.46,29.73,9.91,4.94
415,2.47,31.04,10.07,5.04
416,2.48,30.60,9.71,4.82
417,2.48,29.52,9.90,4.94
418,2.49,28.14,9.96,4.98
419,2.49,29.39,10.15,5.09
420,2.50,31.33,10.00,5.00
421,2.51,29.95,9.92,4.95
422,2.51,29.81,10.01,5.00
423,2.52,29.86,9.94,4.96
424,2.52,30.04,10.16,5.09
425,2.53,30.42,10.04,5.02
426,2.54,30.24,10.07,5.04
427,2.54,28.88,9.94,4.96
428,2.55,29.66,10.04,5.03
429,2.55,29.94,10.00,5.00
430,2.56,29.69,9.99,5.00
431,2.57,30.49,9.97,4.98
432,2.57,29.91,10.06,5.04
433,2.58,29.56,10.10,5.06
434,2.58,30.13,9.85,4.91
435,2.59,28.98,10.09,5.06
436,2.60,29.40,9.98,4.99
437,2.60,30.39,9.98,4.99
438,2.61,30.52,9.92,4.95
439,2.61,30.66,10.00,5.00
440,2.62,29.16,9.98,4.99
441,2.62,29.65,10.10,5.06
442,2.63,31.10,10.10,5.06
443,2.64,30.68,9.98,4.99
444,2.64,30.16,9.94,4.96
445,2.65,30.11,9.93,4.96
446,2.65,30.22,10.17,5.10
447,2.66,30.39,9.94,4.96
448,2.67,31.01,10.00,5.00
449,2.67,30.08,10.01,5.00
450,2.68,30.19,9.96,4.98
451,2.68,29.97,10.17,5.10
452,2.69,30.24,10.07,5.04
453,2.70,30.00,9.92,4.95
454,2.70,30.53,9.94,4.97
455,2.71,30.26,9.93,4.96
456,2.71,29.47,9.96,4.98
457,2.72,29.00,9.93,4.96
458,2.73,30.10,10.01,5.01
459,2.73,29.77,9.85,4.91
460,2.74,28.98,10.11,5.07
461,2.74,30.59,10.02,5.01
462,2.75,29.88,10.04,5.02
463,2.76,29.62,9.83,4.90
464,2.76,30.47,9.88,4.93
465,2.77,28.59,10.07,5.04
466,2.77,30.68,9.92,4.95
467,2.78,29.76,9.97,4.98
468,2.79,30.19,10.13,5.08
469,2.79,30.24,10.00,5.00
470,2.80,30.81,10.02,5.01
471,2.80,30.61,9.87,4.92
472,2.81,30.31,10.05,5.03
473,2.82,29.42,9.94,4.96
474,2.82,30.14,10.00,5.00
475,2.83,30.02,9.98,4.99
476,2.83,29.68,9.96,4.98
477,2.84,30.34,9.99,5.00
478,2.85,29.85,9.93,4.96
479,2.85,29.52,9.96,4.98
480,2.86,29.37,9.94,4.97
481,2.86,30.46,9.98,4.99
482,2.87,29.96,9.88,4.93
483,2.88,30.89,9.95,4.97
484,2.88,30.12,10.02,5.01
485,2.89,29.75,10.03,5.02
486,2.89,31.07,10.03,5.02
487,2.90,30.20,10.05,5.03
488,2.90,30.87,10.06,5.04
489,2.91,29.12,10.12,5.07
490,2.92,31.36,9.97,4.98
491,2.92,29.51,10.13,5.08
492,2.93,29.83,9.91,4.95
493,2.93,30.23,10.00,5.00
494,2.94,29.61,10.10,5.06
495,2.95,30.37,10.01,5.01
496,2.95,29.25,9.98,4.99
497,2.96,29.24,9.99,4.99
498,2.96,29.79,9.80,4.88
499,2.97,29.87,10.08,5.05
500,2.98,30.66,10.01,5.00
501,2.98,30.28,9.99,4.99
502,2.99,30.97,9.90,4.94
503,2.99,30.28,9.95,4.97
504,3.00,29.76,9.95,4.97
505,3.01,29.56,10.00,5.00
506,3.01,30.23,10.05,5.03
507,3.02,29.35,9.87,4.92
508,3.02,29.56,9.96,4.98
509,3.03,29.76,10.11,5.06
510,3.04,29.70,9.97,4.98
511,3.04,30.52,10.23,5.14
512,3.05,30.83,10.06,5.04
513,3.05,31.05,10.01,5.00
514,3.06,28.86,9.99,4.99
515,3.07,29.61,10.01,5.01
516,3.07,29.66,10.01,5.01
517,3.08,29.80,9.91,4.94
518,3.08,30.18,9.88,4.93
519,3.09,29.82,9.86,4.92
520,3.10,29.90,9.99,4.99
521,3.10,29.75,10.12,5.07
522,3.11,30.22,9.91,4.94
523,3.11,30.84,10.04,5.03
524,3.12,29.76,10.03,5.02
525,3.12,29.79,10.03,5.02
526,3.13,30.48,10.06,5.04
527,3.14,29.06,9.90,4.94
528,3.14,30.50,10.09,5.05
529,3.15,29.21,10.12,5.07
530,3.15,29.03,10.08,5.05
531,3.16,30.19,10.00,5.00
532,3.17,31.28,10.01,5.00
533,3.17,30.30,10.11,5.06
534,3.18,30.88,10.03,5.02
535,3.18,30.12,10.00,5.00
536,3.19,30.93,9.96,4.98
537,3.20,29.62,9.93,4.96
538,3.20,30.73,10.00,5.00
539,3.21,30.11,10.03,5.02
540,3.21,30.03,9.99,5.00
541,3.22,30.36,10.17,5.10
542,3.23,29.78,9.97,4.98
543,3.23,29.58,9.86,4.92
544,3.24,29.49,10.08,5.05
545,3.24,30.78,9.95,4.97
546,3.25,30.34,9.92,4.95
547,3.26,30.76,10.14,5.08
548,3.26,29.73,9.96,4.97
549,3.27,30.04,10.05,5.03
550,3.27,30.45,10.01,5.01
551,3.28,29.27,10.05,5.03
552,3.29,29.89,9.94,4.97
553,3.29,30.54,9.96,4.98
554,3.30,29.41,9.98,4.99
555,3.30,28.82,9.98,4.99
556,3.31,30.28,9.88,4.93
557,3.32,29.97,9.87,4.92
558,3.32,30.59,9.84,4.90
559,3.33,29.47,9.99,5.00
560,3.33,29.53,9.92,4.95
561,3.34,29.70,9.99,5.00
562,3.35,29.07,10.10,5.06
563,3.35,30.42,9.87,4.92
564,3.36,30.01,9.86,4.91
565,3.36,29.62,9.99,4.99
566,3.37,30.67,10.16,5.10
567,3.38,29.62,9.99,4.99
568,3.38,30.59,9.98,4.99
569,3.39,29.94,10.06,5.03
570,3.39,29.73,10.00,5.00
571,3.40,28.61,10.11,5.07
572,3.40,30.17,9.95,4.97
573,3.41,29.98,10.10,5.06
574,3.42,29.43,10.13,5.08
575,3.42,30.05,9.98,4.99
576,3.43,30.74,9.93,4.96
577,3.43,29.11,9.93,4.96
578,3.44,29.95,10.08,5.05
579,3.45,30.53,9.86,4.91
580,3.45,29.53,10.06,5.04
581,3.46,30.89,9.96,4.97
582,3.46,29.38,10.25,5.15
583,3.47,30.48,10.00,5.00
584,3.48,28.05,9.92,4.95
585,3.48,29.33,9.84,4.90
586,3.49,29.73,10.15,5.09
587,3.49,30.98,9.97,4.98
588,3.50,30.00,9.97,4.98
589,3.51,29.47,10.06,5.04
590,3.51,30.04,9.91,4.95
591,3.52,29.57,9.89,4.94
592,3.52,31.05,9.99,4.99
593,3.53,30.24,10.10,5.06
594,3.54,30.47,9.91,4.95
595,3.54,29.61,9.97,4.98
596,3.55,30.29,9.98,4.99
597,3.55,30.02,10.05,5.03
598,3.56,29.96,10.13,5.08
599,3.57,29.80,9.97,4.98
600,3.57,30.41,9.89,4.94
601,3.58,30.68,10.07,5.04
602,3.58,29.01,9.74,4.84
603,3.59,30.63,10.05,5.03
604,3.60,29.86,10.07,5.04
605,3.60,29.86,10.03,5.02
606,3.61,29.45,10.05,5.03
607,3.61,29.99,9.95,4.97
608,3.62,29.88,10.08,5.05
609,3.62,30.64,10.03,5.02
610,3.63,30.67,10.00,5.00
611,3.64,29.88,9.89,4.93
612,3.64,29.58,9.93,4.96
613,3.65,29.54,10.01,5.00
614,3.65,31.16,9.97,4.98
615,3.66,29.59,10.06,5.04
616,3.67,30.00,10.00,5.00
617,3.67,30.04,9.89,4.93
618,3.68,29.76,9.97,4.98
619,3.68,31.13,9.82,4.89
620,3.69,30.49,9.93,4.96
621,3.70,29.48,9.86,4.92
622,3.70,29.62,9.92,4.95
623,3.71,29.52,10.00,5.00
624,3.71,29.73,9.95,4.97
625,3.72,29.50,10.00,5.00
626,3.73,30.07,9.90,4.94
627,3.73,29.00,9.90,4.94
628,3.74,30.76,9.99,4.99
629,3.74,30.15,9.98,4.99
630,3.75,30.28,9.93,4.96
631,3.76,28.89,10.11,5.06
632,3.76,29.21,9.83,4.90
633,3.77,30.44,10.08,5.05
634,3.77,29.50,10.22,5.13
635,3.78,29.82,10.02,5.01
636,3.79,30.85,10.04,5.02
637,3.79,30.02,9.84,4.90
638,3.80,30.10,9.95,4.97
639,3.80,29.12,9.90,4.94
640,3.81,30.37,9.75,4.85
641,3.82,29.61,10.05,5.03
642,3.82,30.03,10.06,5.04
643,3.83,29.89,10.05,5.03
644,3.83,29.74,10.03,5.02
645,3.84,29.95,10.09,5.05
646,3.85,29.50,10.12,5.07
647,3.85,29.73,10.08,5.05
648,3.86,29.63,9.97,4.98
649,3.86,29.85,10.03,5.02
650,3.87,29.17,9.97,4.98
651,3.88,29.66,9.99,4.99
652,3.88,30.13,10.00,5.00
653,3.89,30.19,10.03,5.02
654,3.89,30.18,10.14,5.08
655,3.90,30.33,10.09,5.05
656,3.90,30.41,9.95,4.97
657,3.91,30.80,10.10,5.06
658,3.92,29.82,9.92,4.95
659,3.92,30.88,9.89,4.94
660,3.93,29.42,10.01,5.01
661,3.93,30.01,9.85,4.91
662,3.94,30.68,10.01,5.01
663,3.95,30.10,10.18,5.11
664,3.95,29.87,10.13,5.08
665,3.96,29.91,9.97,4.98
666,3.96,28.70,9.96,4.97
667,3.97,30.51,9.86,4.91
668,3.98,30.04,10.08,5.05
669,3.98,29.93,9.95,4.97
670,3.99,29.31,10.13,5.08
671,3.99,29.68,10.08,5.05
672,4.00,29.69,10.17,5.10
673,4.01,30.02,10.00,5.00
674,4.01,30.31,9.98,4.99
675,4.02,29.11,10.09,5.05
676,4.02,29.73,10.06,5.03
677,4.03,30.72,10.08,5.05
678,4.04,29.77,10.03,5.02
679,4.04,31.54,9.92,4.95
680,4.05,30.40,10.16,5.10
681,4.05,30.05,10.03,5.02
682,4.06,29.91,10.03,5.02
683,4.07,30.06,10.04,5.03
684,4.07,30.07,9.99,5.00
685,4.08,29.38,10.08,5.05
686,4.08,29.23,9.95,4.97
687,4.09,29.06,9.99,4.99
688,4.10,29.93,9.92,4.95
689,4.10,30.83,10.21,5.13
690,4.11,29.38,9.92,4.95
691,4.11,30.30,9.98,4.99
692,4.12,30.23,10.05,5.03
693,4.12,30.20,10.04,5.02
694,4.13,30.42,10.14,5.08
695,4.14,29.33,9.98,4.99
696,4.14,30.61,9.89,4.93
697,4.15,30.83,9.98,4.99
698,4.15,30.52,10.06,5.04
699,4.16,30.00,9.93,4.96
700,4.17,30.05,9.97,4.98
701,4.17,30.71,9.96,4.98
702,4.18,30.18,9.99,4.99
703,4.18,30.00,10.00,5.00
704,4.19,29.74,9.96,4.98
705,4.20,29.54,10.11,5.07
706,4.20,29.98,10.01,5.01
707,4.21,30.20,10.14,5.09
708,4.21,29.96,9.83,4.90
709,4.22,31.14,10.07,5.04
710,4.23,29.83,9.90,4.94
711,4.23,29.10,10.07,5.04
712,4.24,30.56,9.88,4.93
713,4.24,29.65,9.85,4.91
714,4.25,29.49,10.03,5.02
715,4.26,30.94,10.16,5.10
716,4.26,29.71,9.90,4.94
717,4.27,30.35,9.82,4.89
718,4.27,30.07,10.08,5.05
719,4.28,30.36,9.89,4.94
720,4.29,29.62,10.00,5.00
721,4.29,29.76,10.08,5.05
722,4.30,29.84,10.21,5.13
723,4.30,29.90,10.08,5.05
724,4.31,29.22,10.03,5.02
725,4.32,29.15,10.05,5.03
726,4.32,28.90,10.11,5.07
727,4.33,29.96,9.98,4.99
728,4.33,29.47,9.95,4.97
729,4.34,29.95,9.95,4.97
730,4.35,30.65,9.95,4.97
731,4.35,29.14,9.93,4.96
732,4.36,29.05,10.02,5.01
733,4.36,29.91,10.01,5.00
734,4.37,31.08,10.00,5.00
735,4.38,29.94,10.09,5.05
736,4.38,29.86,9.89,4.94
737,4.39,30.39,9.98,4.99
738,4.39,29.99,9.88,4.93
739,4.40,30.75,10.08,5.05
740,4.40,29.68,9.90,4.94
741,4.41,30.67,9.94,4.96
742,4.42,30.87,9.91,4.95
743,4.42,29.83,10.21,5.12
744,4.43,29.52,9.93,4.96
745,4.43,29.51,9.98,4.99
746,4.44,30.53,9.98,4.99
747,4.45,29.03,10.05,5.03
748,4.45,30.43,10.01,5.01
749,4.46,29.70,9.90,4.94
750,4.46,31.66,10.05,5.03
751,4.47,29.98,9.81,4.89
752,4.48,29.48,10.07,5.04
753,4.48,28.92,9.96,4.98
754,4.49,30.97,10.10,5.06
755,4.49,29.82,10.00,5.00
756,4.50,29.83,9.90,4.94
757,4.51,30.42,10.14,5.08
758,4.51,29.41,10.05,5.03
759,4.52,29.29,10.04,5.02
760,4.52,29.94,10.05,5.03
761,4.53,30.70,10.08,5.05
762,4.54,29.41,10.09,5.06
763,4.54,29.79,10.00,5.00
764,4.55,29.86,10.18,5.11
765,4.55,30.31,10.07,5.04
766,4.56,30.88,10.05,5.03
767,4.57,29.82,10.05,5.03
768,4.57,29.28,10.08,5.05
769,4.58,30.45,10.05,5.03
770,4.58,28.27,9.95,4.97
771,4.59,30.31,9.88,4.93
772,4.60,30.46,10.00,5.00
773,4.60,30.22,10.07,5.04
774,4.61,30.30,10.00,5.00
